first_author,year,title
Morelli,2012,Anthropogenic refugia ameliorate the severe climate-related decline of a montane mammal along its trailing edge
Quero,1998,Changes in the Euro?Atlantic fish species composition resulting from fishing and ocean warming
Nicastro,2013,Shift happens: trailing edge contraction associated with recent warming trends threatens a distinct genetic lineage in the marine macroalga Fucus vesiculosus
Kullman,2002,Rapid recent range-margin rise of tree and shrub species in the Swedish Scandes
Walther,2005,Trends in the upward shift of alpine plants
Yang,2011,Contrasting responses of Peromyscus mice of Yosemite National Park to recent climate change
Monahan,2008,Ecophysiological constraints shape autumn migratory response to climate change in the North American field sparrow
Massimino,2015,The geographical range of British birds expands during 15 years of warming
Rubal,2013,Increasing sea surface temperature and range shifts of intertidal gastropods along the Iberian Peninsula
Riley,2014,Range expansion of Aratus pisonii (mangrove tree crab) into novel vegetative habitats
Peñuelas,2003,A global change-induced biome shift in the Montseny mountains (NE Spain)
Pateman,2012,Temperature-dependent alterations in host use drive rapid range expansion in a butterfly
Van Bogaert,2011,A century of tree line changes in sub-Arctic Sweden shows local and regional variability and only a minor influence of 20th century climate warming
Solow,2014,A test for a shift in the boundary of the geographical range of a species
Serrano,2013,Rapid northward spread of a Zooxanthellate coral enhanced by artificial structures and sea warming in the western Mediterranean
Kopp,2014,Shifts in plant species elevational range limits and abundances observed over nearly five decades in a western North America mountain range
Tryjanowski,2005,Uphill shifts in the distribution of the white stork Ciconia ciconia in southern Poland: the importance of nest quality
Dumais,2014,"Are low altitude alpine tundra ecosystems under threat? A case study from the Parc National de la Gaspésie, Québec"
Morueta-Holme,2015,Strong upslope shifts in Chimborazo’s vegetation over two centuries since Humboldt
Shiyatov,2007,Altitudinal and horizontal shifts of the upper boundaries of open and closed forests in the Polar Urals in the 20th century
Hsieh,2009,Climate-driven changes in abundance and distribution of larvae of oceanic fishes in the southern California region
DeLuca,2013,thesis
Kleisner,2016,The effects of sub-regional climate velocity on the distribution and spatial extent of marine species assemblages
Kerby,2013,Wondering about wandering whiting: distribution of North Sea whiting between the 1920s and 2000s
Jore,2011,Multi-source analysis reveals latitudinal and altitudinal shifts in range of Ixodes ricinus at its northern distribution limit
Dulvy,2008,Climate change and deepening of the North Sea fish assemblage: a biotic indicator of warming seas
Dou,2013,Climate change impacts population dynamics and distribution shift of moose (Alces alces) in Heilongjiang Province of China
Swaby,1999,"The sailfin dory, a first British record"
Cubillos,2007,Calcification morphotypes of the coccolithophorid Emiliania huxleyi in the Southern Ocean: changes in 2001 to 2006 compared to historical data
Dawson,2010,Population genetic analysis of a recent range expansion: mechanisms regulating the poleward range limit in the volcano barnacle Tetraclita rubescens
Aguirre-Gutiérrez,2016,Functional traits help to explain half-century long shifts in pollinator distributions
Tape,2016,Range expansion of moose in arctic Alaska linked to warming and increased shrub habitat
Zhang,2009,Can Landsat imagery detect tree line dynamics?
Crozier,2003,Winter warming facilitates range expansion: cold tolerance of the butterfly Atalopedes campestris
Moreno-Fernández,2016,Space–time modeling of changes in the abundance and distribution of tree species
Ambrosini,2011,Climate change and the long-term northward shift in the African wintering range of the barn swallow Hirundo rustica
Yukawa,2007,"Distribution range shift of two allied species, Nezara viridula and N. antennata (Hemiptera: Pentatomidae), in Japan, possibly due to global warming"
Kitahara,2001,"On the relathionship between the northward distributional expansion of the great mormon butterfly, Papilio memnon Lineatus, and climatic warming in Japan"
Perissinotto,2011,Southward expansion in beetle and butterfly ranges in South Africa
Tu,2015,Effects of climate on temporal variation in the abundance and distribution of the demersal fish assemblage in the Tsushima Warm Current region of the Japan Sea
Coristine,2015,Temperature-related geographical shifts among passerines: contrasting processes along poleward and equatorward range margins
Assandri,2015,Is the spectacled warbler Sylvia conspicillata expanding northward because of climate warming?
Overholtz,2011,Impacts of interannual environmental forcing and climate change on the distribution of Atlantic mackerel on the U.S. northeast continental shelf
Moret,2016,Climate warming effects in the tropical Andes: first evidence for upslope shifts of Carabidae (Coleoptera) in Ecuador
Martinet,2015,Forward to the north: two Euro-Mediterranean bumblebee species now cross the Arctic Circle
Leidenberger,2012,Ecology and distribution of the isopod genus Idotea in the Baltic Sea: key species in a changing environment
Wehtje,2003,The range expansion of the great-tailed grackle (Quiscalus mexicanus Gmelin) in North America since 1880
Veech,2011,The effect of habitat on the range expansion of a native and an introduced bird species
Weinberg,2005,Bathymetric shift in the distribution of Atlantic surfclams: response to warmer ocean temperature
Walters,2000,Decreasing length at age in a rapidly expanding population of northern rock sole in the eastern Bering Sea and its effect on management advice
Juvik,2011,"“The upper limits of vegetation on Mauna Loa, Hawaii”: a 50th-anniversary reassessment"
Dolezal,2016,Vegetation dynamics at the upper elevational limit of vascular plants in Himalaya
Reid,2016,Pacific lamprey in coastal drainages of California: occupancy patterns and contraction of the southern range
Ash,2017,Tracking lags in historical plant species’ shifts in relation to regional climate change
Agnihotri,2017,Climate change-driven shifts in elevation and ecophysiological traits of Himalayan plants during the past century
Forsman,2016,Faster poleward range shifts in moths with more variable colour patterns
Molina-Martínez,2016,Changes in butterfly distributions and species assemblages on a Neotropical mountain range in response to global warming and anthropogenic land use
Huang,2017,Multidirectional abundance shifts among North American birds and the relative influence of multifaceted climate factors
Chivers,2017,Mismatch between marine plankton range movements and the velocity of climate change
Büntgen,2017,Elevational range shifts in four mountain ungulate species from the Swiss Alps
Sittaro,2017,Tree range expansion in eastern North America fails to keep pace with climate warming at northern range limits
Currie,2017,Climate change is not a major driver of shifts in the geographical distributions of North American birds
Wen,2017,Heterogeneous distributional responses to climate warming: evidence from rodents along a subtropical elevational gradient
Biella,2017,Distribution patterns of the cold adapted bumblebee Bombus alpinus in the Alps and hints of an uphill shift (Insecta: Hymenoptera: Apidae)
Wright,2016,"Upward shifts in recruitment of high-elevation tree species in the northern Sierra Nevada , California"
DeLuca,2017,Montane birds shift downslope despite recent warming in the northern Appalachian Mountains
Hernández,2017,Exploring range shifts of contrasting tree species across a bioclimatic transition zone
Thorson,2017,The relative influence of temperature and size-structure on fish distribution shifts: a case-study on walleye pollock in the Bering Sea
Hermes,2018,Habitat requirements and population estimate of the endangered Ecuadorian Tapaculo Scytalopus robbinsi
Dainese,2017,Human disturbance and upward expansion of plants in a warming climate
Campos-Cerqueira,2017,Lowland extirpation of anuran populations on a tropical mountain
Campos-Cerqueira,2017,Have bird distributions shifted along an elevational gradient on a tropical mountain?
Rumpf,2018,Range dynamics of mountain plants decrease with elevation
Virkkala,2017,Birds on the move in the face of climate change: high species turnover in northern Europe
Coals,2018,Elevation patterns of plant diversity and recent altitudinal range shifts in Sinai’s high-mountain flora
Kirchman,2017,Altitudinal range shifts of birds at the southern periphery of the boreal forest: 40 years of change in the Adirondack mountains
Bhatta,2018,Downhill shift of alpine plant assemblages under contemporary climate and land-use changes
Koide,2017,An upward elevation shift of native and non-native vascular plants over 40 years on the island of Hawai’i
Czortek,2018,"Climate change, tourism and historical grazing influence the distribution of Carex lachenalii Schkuhr – A rare arctic-alpine species in the Tatra Mts"
Neukermans,2018,Increased intrusion of warming Atlantic water leads to rapid expansion of temperate phytoplankton in the Arctic
Ottosen,2018,Distribution and timing of spawning Faroe Plateau cod in relation to warming spring temperatures
Yang,2018,Long-term ecological data for conservation: range change in the black-billed capercaillie (Tetrao urogalloides) in northeast China (1970s-2070s)
Zhang,2017,Geographic characteristics of sable (Martes zibellina) distribution over time in Northeast China
Hale,2017,Subtidal benthic invertebrates shifting northward along the US Atlantic Coast
